LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_1,1,1,77,2,0,0,0,1,117.61313924050633,0.0,117.61313924050633,0.17638061620000658,72.79463840349223,153.57288561164424,0.0,0.13837953097588643,0.5075734309973259,0.01579708959205276,0.10964579601980004,0.11054507106296459,940.4675324675325,16.01765730811748,1.1532081574243294,0.01101163627159259,0.0014996676165519825,0.010837351492492844,1.1521642197918307
Track_2,2,2,4,1,0,0,0,2,7.539303797468354,0.0,7.539303797468354,0.3637917590314649,169.42337637704014,170.68946582720957,0.0,0.10421347053889336,0.15657275089025552,0.0175947796929854,0.13847288103343916,0.07555792165684984,882.5,0.5244791642507187,0.3637917590314649,0.6936248069095079,0.0482526992948107,0.46301787134900546,1.1663975404212328
Track_5,4,5,78,2,0,0,0,1,119.121,0.0,119.121,0.41460902111978437,349.43708632497294,188.45525834399743,0.0,0.05955133925600117,0.15832870437199578,0.0037087383180281095,0.062342045233197745,0.03317955646599471,832.4487179487179,7.032518436482481,0.4776053757828422,0.05895598068665187,0.003480570353840082,0.05844655044410834,1.2719052807191424
Track_7,6,7,6,1,0,0,0,3,12.062886075949368,6.031443037974683,18.09432911392405,0.6682386700868337,79.77777440936768,234.67741261696156,0.0,0.11327808726760541,0.2534693056084725,0.02777741223459817,0.08177315774113753,0.08613518401021743,802.1666666666666,0.9796913232330994,0.6715869512805426,0.6820910364721468,0.055396251434318734,0.48902883841472333,0.7770913558164523
Track_8,7,8,14,3,0,0,0,1,24.125772151898733,7.539303797468354,31.665075949367086,0.24764692857655182,184.28434251728663,49.65608233271272,0.0,0.24140053747314416,0.5561542170907652,0.06113517323747992,0.13768507487946108,0.17266606046362268,832.5,5.346577968026092,1.0858733992250866,0.04631877250412207,0.010264829122041661,0.042521981224601144,1.1131002254223394
Track_12,10,12,24,3,0,0,0,4,46.74368354430379,22.617911392405063,69.36159493670885,1.1065254998684297,168.886796949949,171.092594928085,0.0,0.07601307457673036,0.17733039608044388,0.006748044086093745,0.06222175573069474,0.04591780292329933,852.2916666666666,3.1521644690848234,1.1820950938603751,0.35103672753144455,0.023672193031592424,0.31142264884571735,0.962384887798812
Track_14,12,14,5,1,0,0,0,1,7.5393037974683565,28.649354430379745,36.1886582278481,0.8150214836880175,81.34561542458967,233.65630403555542,0.0,0.12262820367183952,0.1721648020812274,0.08609712928535647,0.1315668162583067,0.03807815604912901,800.4,0.8694475080503005,0.8150214836880175,0.9374015983042714,0.10810301661563178,0.8815510084851441,0.36258268813074307
Track_48,19,48,8,7,0,0,0,16,119.121,0.0,119.121,2.4878303800701445,220.71375,35.10375,0.0,0.04833514708653912,0.09152038683355555,0.0,0.03935496274748208,0.032768543144807365,-1.0,5.465358642272486,3.1807428377660356,0.45519984010339515,0.020884901739157198,0.432085200894598,0.041453007219758205
Track_50,20,50,7,6,0,0,0,17,119.121,0.0,119.121,3.4672070892867124,296.17017857142855,47.129464285714285,0.0,0.08910205372910782,0.14617557591921945,0.023112387909578733,0.1126954629140722,0.05053773484424205,-1.0,9.64203081068693,5.023275823603555,0.35959303152648786,0.029106598242851493,0.3266658513993709,0.06638058874070343
Track_52,21,52,6,5,0,0,0,24,117.61313924050633,1.5078607594936708,119.121,2.0116784037216426,289.65625,56.091249999999995,0.0,0.059270094493901165,0.0787288136107816,0.028600120885486094,0.07467079170787183,0.02345410557473451,-1.0,7.13687189645837,3.3978559416196736,0.2818711660944799,0.017104197853336563,0.2885805733799963,0.0791578344255501
