LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_0,0,0,59,0,0,0,0,0,119.457,0.0,119.457,0.5759137875272202,282.9329019589633,184.75926971947948,0.0,0.026680677047861832,0.09683169930000671,0.0038413780363992654,0.024279284901146857,0.01695168723808001,746.9661016949152,3.187193638106431,0.697806250574753,0.1806962026534983,0.004821097026772983,0.1806962026534983,0.9334150952137759
Track_1,1,1,23,1,0,0,0,1,47.37087931034482,0.0,47.37087931034482,0.8134931794653234,11.923158482788972,95.77277273715774,0.0,0.04123879495943649,0.0973760048863706,0.007556920167121957,0.04042910931915393,0.023228576192034722,950.6521739130435,1.9518503475907771,0.8134931794653234,0.4167805080289278,0.01717285368793383,0.4164247210624238,0.9794653385127567
Track_3,2,3,59,0,0,0,0,0,119.457,0.0,119.457,0.13607676650700032,314.0513883883905,63.60311860882212,0.0,0.029955765192401795,0.11695021987229265,0.0053339699891383615,0.026010502385529433,0.023047367710465602,630.2542372881356,3.578425842588743,0.33506532976786957,0.038026990775518826,0.0011391276066450716,0.03802699077551885,0.9242977537585183
Track_4,3,4,59,0,0,0,0,0,119.457,0.0,119.457,0.07975904968460648,317.46501051466225,35.73444610093125,0.0,0.02274894556486915,0.06354018016781374,0.0018099088204072162,0.021822438773693983,0.01166403181546985,754.9152542372881,2.717520790342575,0.1418683273093109,0.029349931734855995,6.676799993688648E-4,0.029349931734856,1.059343656102191
Track_6,4,6,58,1,0,0,0,1,119.457,0.0,119.457,10.364252345193712,206.93759335849856,108.91124978518822,0.0,0.09205496402778245,0.21671942637369973,0.0232630028785699,0.08392700430825059,0.038731709216134995,607.6896551724138,10.967872681603867,10.364252345193712,0.9449646842251742,0.08676136471863276,0.9424952324401314,0.22071158523365772
Track_7,5,7,59,0,0,0,0,0,119.457,0.0,119.457,0.5958012181323297,319.70981672584054,52.07552039260353,0.0,0.07911702342908579,0.19119571733019475,0.009102219007781777,0.07227407489587291,0.04667227736129841,849.9491525423729,9.451082267768303,0.7951819385798911,0.06304052819053675,0.00498757894583264,0.06304052819053677,1.0676832297999532
Track_8,6,8,59,0,0,0,0,0,119.457,0.0,119.457,1.4291806535958265,347.7415216713698,110.17594975367923,0.0,0.029218794184439883,0.07852340126115286,0.005809428886299518,0.02815514812886116,0.017198884345740253,734.1355932203389,3.4903894968906366,1.4291806535958265,0.4094616531676455,0.011963975770325945,0.40946165316764566,0.824076149525514
