LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_3,3,3,79,0,0,0,0,0,118.404,0.0,118.404,41.4945051673897,157.503721800193,213.63713200516585,0.0,0.3955362190068354,0.9677454381107297,0.0877381772706156,0.3749100286172204,0.18041883628467123,881.253164556962,46.833070475285346,41.4945051673897,0.8860086418909282,0.35044850822091905,0.8860086418909284,0.45663817427228526
Track_5,4,5,70,6,0,0,0,3,118.404,0.0,118.404,48.949711106473124,121.02543135192317,165.93785893133358,0.0,0.47156907730074593,2.179723359027973,0.05290067099337433,0.3239379000456809,0.42891383316415327,928.0714285714286,52.5607966807543,48.949711106473124,0.9312969779317783,0.4134126474314476,0.8766746322676949,0.31547604142847696
Track_8,7,8,75,1,0,0,0,4,118.404,0.0,118.404,11.990358906934375,284.7790718395389,135.123171713105,0.0,0.1455461207336199,0.41812182016532295,0.0068704712351616605,0.12359741992364007,0.09237376184707526,774.32,17.273506419636803,11.990358906934375,0.6941473616094264,0.10126650203484996,0.6957691591120386,0.7120385410592563
Track_9,8,9,79,0,0,0,0,0,118.404,0.0,118.404,14.956448424864478,188.8041712471232,135.5678407263967,0.0,0.16529505886148632,0.4042167813824291,0.021429611621404204,0.14548275161009452,0.09548822211964489,789.1772151898734,19.571596149435425,14.956448424864478,0.7641915514027159,0.12631708747056247,0.7641915514027159,0.5674705791382235
Track_10,9,10,79,0,0,0,0,0,118.404,0.0,118.404,18.817600730864783,88.5097550185192,136.85001245959504,0.0,0.2550996417718147,0.6794871724336502,0.015393826565588617,0.2440731446990833,0.13593071608317836,1033.9113924050632,30.204817984349944,18.817600730864783,0.6229999710845723,0.15892706944752527,0.6229999710845722,0.3820744843388301
Track_15,13,15,38,2,0,0,0,4,65.274,53.13,118.404,29.18380729352216,70.33959206273839,134.80711257447814,0.0,0.5231196762274558,1.4992724640423425,0.03525327796301311,0.5191556860023678,0.3437730729418573,600.6842105263158,33.93277152808812,29.18380729352216,0.8600478528364545,0.4470969650017183,0.8546743418752952,0.2983217294860817
Track_45,23,45,5,4,0,0,0,23,118.404,0.0,118.404,1.4224714408381156,170.27474999999998,80.02275,0.0,0.04176722116076497,0.05267582142141373,0.029893956918447276,0.04545454545454656,0.009677830387664225,-1.0,4.98807662526511,1.4224714408381156,0.2851743362628302,0.01201371103035468,0.28763491313231165,0.0887538657260398
Track_47,25,47,8,7,0,0,0,13,118.404,0.0,118.404,2.6274417215230397,179.701875,144.943125,0.0,0.07066917604112878,0.14204545454545642,0.017482517482517418,0.07449486106330534,0.03922070389987609,-1.0,7.922830083110628,2.6274417215230397,0.33162918981741746,0.02219048107769197,0.3140050913396432,0.0740123599255086
Track_48,26,48,8,7,0,0,0,14,118.404,0.0,118.404,7.867210433184057,114.66937499999999,169.91249999999997,0.0,0.08626933557340294,0.15360511440147004,0.021427478217774097,0.0811688311688309,0.04321924668215041,-1.0,9.513258846481516,7.867210433184057,0.8269732338980504,0.06644378934144164,0.7701901133214063,0.052765422883392275
